GraphIndex,Vertices,Edges,MST_Weight,Time_ns,Time_ms,Iterations
0;100;248;2320;441100;0,44;3
1;199;496;4517;809700;0,81;4
2;298;741;7129;1229800;1,23;4
3;397;989;9014;1253800;1,25;4
4;496;1239;12043;1438900;1,44;4
5;595;1483;14470;1736300;1,74;4
6;694;1731;16471;2548200;2,55;5
7;793;1981;18461;2815000;2,82;5
8;892;2227;20038;3380600;3,38;4
9;991;2475;23439;1380500;1,38;4
10;1090;2724;25285;1031500;1,03;5
11;1189;2970;27285;1130200;1,13;5
12;1288;3218;30598;1194400;1,19;5
13;1387;3464;33764;1305100;1,31;5
14;1486;3714;35383;952500;0,95;5
15;1585;3959;36940;1325800;1,33;5
16;1684;4209;40185;1681400;1,68;5
17;1783;4454;41365;1846400;1,85;5
18;1882;4702;44740;1953100;1,95;5
19;1981;4951;45847;2071700;2,07;5
20;2080;5198;48151;1614000;1,61;5
21;2179;5445;52389;1988900;1,99;5
22;2278;5693;52515;2115900;2,12;5
23;2377;5939;54360;2322300;2,32;6
24;2476;6188;59519;2573500;2,57;5
25;2575;6433;60859;2565700;2,57;5
26;2674;6682;62090;2156900;2,16;5
27;2773;6931;66187;1939600;1,94;5
28;2872;7178;67078;2378000;2,38;5
29;2971;7425;70920;3278600;3,28;5
30;3070;7674;74473;3090400;3,09;5
31;3169;7920;73885;2685900;2,69;5
32;3268;8167;78663;2507000;2,51;5
33;3367;8412;80674;2012900;2,01;5
34;3466;8662;82352;2858100;2,86;5
35;3565;8910;83609;2879300;2,88;5
36;3664;9156;87369;2773500;2,77;5
37;3763;9405;87239;2809700;2,81;5
38;3862;9652;91669;3015900;3,02;5
39;3961;9900;95163;3050700;3,05;5
40;4060;10145;96300;2581300;2,58;5
41;4158;10393;98095;2376400;2,38;6
42;4258;10643;101084;2410200;2,41;6
43;4357;10889;103875;2291800;2,29;5
44;4456;11137;105842;2784300;2,78;5
45;4555;11386;108488;2922900;2,92;5
46;4654;11634;110991;3364400;3,36;6
47;4753;11881;115934;2316200;2,32;5
48;4852;12128;115632;2217200;2,22;5
49;4951;12375;116023;2291600;2,29;5
50;5050;12619;117488;2804100;2,80;5
51;5149;12869;120800;3279300;3,28;5
52;5248;13117;125563;3493800;3,49;5
53;5347;13365;124777;2494800;2,49;5
54;5446;13613;129361;2473100;2,47;5
55;5545;13860;130593;2577600;2,58;5
56;5644;14107;133976;3468700;3,47;6
57;5742;14354;135753;2342400;2,34;5
58;5842;14602;138888;2956600;2,96;5
59;5941;14850;138250;3368700;3,37;6
60;6040;15099;142435;3465000;3,47;6
61;6139;15343;145555;3050300;3,05;5
62;6238;15592;146076;2532300;2,53;5
63;6337;15839;148491;2495700;2,50;5
64;6436;16088;153024;2590200;2,59;6
65;6535;16335;158500;2797800;2,80;6
66;6634;16583;156636;2831700;2,83;6
67;6733;16829;158045;2910300;2,91;6
68;6832;17078;164754;3770600;3,77;6
69;6930;17319;164312;3846700;3,85;6
70;7030;17572;164764;4111200;4,11;6
71;7129;17817;167275;3314100;3,31;6
72;7228;18068;174103;3227500;3,23;5
73;7327;18314;173292;4077500;4,08;6
74;7426;18562;176150;3952300;3,95;5
75;7525;18809;178896;3629700;3,63;6
76;7624;19059;180804;3949300;3,95;5
77;7723;19304;184473;4089400;4,09;6
78;7822;19552;186869;3351400;3,35;6
79;7921;19799;187202;3102000;3,10;5
80;8020;20047;193139;3198400;3,20;5
81;8119;20293;195248;3381400;3,38;5
82;8217;20541;191655;4012500;4,01;6
83;8317;20790;196246;3681800;3,68;6
84;8416;21037;201337;3266100;3,27;5
85;8515;21285;197225;4011500;4,01;6
86;8614;21531;201828;3736500;3,74;6
87;8713;21777;204910;3840000;3,84;6
88;8812;22025;208082;3904400;3,90;6
89;8911;22275;211190;3973200;3,97;6
90;9010;22523;210218;4092800;4,09;6
91;9109;22770;215756;4079600;4,08;6
92;9208;23017;214522;4315600;4,32;6
93;9307;23266;221662;4314600;4,31;6
94;9406;23514;219807;3635300;3,64;5
95;9505;23760;224401;4342000;4,34;6
96;9604;24007;225402;5214400;5,21;6
97;9703;24255;228398;5024900;5,02;6
98;9802;24502;230104;5572100;5,57;6
99;9901;24751;232881;4946400;4,95;6
